config_name	base_policy	policy	policy_family	selection_source	raw_selection_n_records	raw_selection_total_weight	raw_pair_count	eval_pair_count	raw_eval_pair_intersection_count	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	raw_all_geom_nearest_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	raw_split_agree_geom_nearest_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_top_to_nearest	raw_all_geom_top_to_nearest	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_top_to_nearest	raw_split_agree_geom_top_to_nearest	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	margin_geom_gap	raw_all_margin_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	margin_geom_gap	raw_split_agree_margin_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	pmax_geom_gap	raw_all_pmax_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	pmax_geom_gap	raw_split_agree_pmax_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	88	0.463157895	0.493262191	0.503892983
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	posterior_same_cross_mass	raw_all_posterior_same_cross_mass	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	58	0.305263158	0.330923203	0.334560381
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	posterior_same_cross_mass	raw_split_agree_posterior_same_cross_mass	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	58	0.305263158	0.330923203	0.334560381
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	same_cross_distance_sum	raw_all_same_cross_distance_sum	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	61	0.321052632	0.336056605	0.340540503
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	same_cross_distance_sum	raw_split_agree_same_cross_distance_sum	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	61	0.321052632	0.336056605	0.340540503
