key	value
run_id	039-20260620_002305-p9016_global_gauge_decoder_audit_1m
purpose	post-training raw-only global chromosome gauge decoder audit; no retraining
full_run_root	/mnt/ssd/zliu/phase3/test_res/039-20260620_002305-p9016_global_gauge_decoder_audit_1m
light_result_root	/mnt/ssd/zliu/phase3/hickit/result/039-20260620_002305-p9016_global_gauge_decoder_audit_1m
source_run_root	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m
pairs_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
reference_3dg_path	/shared/zliu/CHARM/CHARM_mesc/data/tdg/P9016.1m.3dg.gz
bin_size_bp	1000000
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	85
training_boundary	no training; source runs must be raw_pairs blind training
decoder_boundary	raw_global_* policies select one chromosome copy-swap bit per chromosome from raw posterior bpair weights and reconstruction geometry only; SNP labels and CHARM/3DG enter only after selection for scoring/denominator matching
