key	value
bin_size_bp	1000000
boost_copies	2
eligible_trans_bpairs	403163
extra_copies_written	76576
input_cis_pairs	1135454
input_pairs	1703888
input_trans_pairs	568434
method	blind_posterior_confidence_trans_boost
min_margin	0
min_pmax	0
out_pairs	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/generated_pairs/p9016_confboost_pmax_top0p02_b2.pairs.gz
output_pairs	1780464
pairs	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
phase_mode	dot
posterior	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/outputs/p9016_pcgamma1_approved_baseline_ieps0p5_noise0_seed17/p9016_full.bpair_posterior.tsv
posterior_trans_bpairs	403163
score_mode	pmax
score_threshold	0.995416999
selected_margin_min	0.990834057
selected_n_raw_sum	76722
selected_pmax_min	0.995416999
selected_score_max	1
selected_score_min	0.995416999
selected_trans_bpairs	8064
selected_trans_raw_pairs	76576
trans_top_frac	0.02
uses_charm_or_reference_for_training	0
uses_phase_labels_for_training	0
