key	value
sample	P9016
runner_family	p9016_minimal
runner_version	2026-06-15
default_profile	p9016_softall_minimal_v2
config_name	scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05
input_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
input_contact_source	raw_pairs
output_dir	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05
n_raw	1703888
n_bpair	489556
n_beads	2633
resolution	1000000
n_iter	100
bin_size_bp	1000000
resolution_label	1Mb
refinement_stage	1m
refinement_stage_index	1
refinement_n_stages	1
parent_bin_size_bp	0
refinement_init_source	unphased_scaffold_split
refinement_child_offset_step	0.0500000007
refinement_parent_anchor_k	0.0500000007
relax_backend	gpu
approved_p9016_raw_pairs_realpath	1
unit	1
d_scale	1
base_k_mode	neighbor_median
base_k_effective	0.943498492
base_k_min	0.307180494
base_k_mean	0.943498492
base_k_max	1
base_k_n_nonfinite	0
init_mode	unphased_scaffold_split
init_eps	1
init_noise_scale	0.0500000007
init_scale	10
init_eps_effective	1
init_noise_scale_effective	0.0500000007
init_scale_effective	0
init_seed	17
scaffold_source	unphased_fdg
scaffold_fdg_n_iter	50
prior_mode	uniform
prior_eps	9.99999997e-07
prior_inter_density	0
prior_observed_inter	0
prior_possible_inter	0
prior_n_distance_bins	0
prior_n_alpha	0
prior_alpha_min	0
prior_alpha_median	0
prior_alpha_max	0
prior_smoothing_method	none
prior_alpha_clamp_min	9.99999997e-07
prior_alpha_clamp_max	0.5
rho_train_mode	constant
rho_train	1
rho_train_floor	0
baseline	softall
mstep_graph_mode	raw_expected_soft_all
training_graph_mode	raw_expected_soft_all
softall_mode	raw_expected_soft_all
training_graph_weighted_filter	1
training_graph_probability_weighted	1
training_graph_dscale_probability_weighted	1
estep_score_mode	fdg_flat
d_scale_mode	expected_count
d_scale_eps_count	0.00100000005
same_bin_filter_enabled	1
n_raw_same_bin_excluded	438895
n_bpair_same_bin_excluded	2564
n_raw_cis	1135454
n_raw_trans	568434
n_bpair_cis	86393
n_bpair_trans	403163
raw_posterior_same_bin_policy	uniform_unknown_rows
copy_labels_are_gauge_only	1
uses_phase_labels	0
uses_charm_or_reference	0
uses_charm_for_training	0
min_sep_unit	1.5
lambda_sep	0.5
chr_sep_unit	0
lambda_chr_sep	0
relax_step	0.0120000001
relax_steps	100
temperature_start	1
temperature_end	1
rho_train_start	1
rho_train_end	1
enable_repulsion	1
repulsion_mode	2
repulsion_blocking_mode	current_edge_blocking
repulsion_multiplier	1
k_rel_rep_effective	0.0500000007
write_raw_posterior	0
output_bpair_posterior	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.bpair_posterior.tsv
output_coords	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.coords.tsv
output_coords_gz	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.coords.tsv.gz
output_loop_diag	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.loop_diag.tsv
output_force_class_diag	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.force_class_diag.tsv
output_sep_diag	/mnt/ssd/zliu/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep/scaffold_expected_msep1p5_lsep0p5_ieps1_noise0p05/p9016_full.sep_diag.tsv
status	OK
final_mean_entropy	0.618755221
final_mean_pU	0.446337551
final_mean_sep	5.58959293
final_min_sep	2.9476676
final_max_sep	13.4091511
final_sum_wedge_k	98578.461791529087
last_training_sum_wedge_k	98578.461791529087
final_refreshed_sum_wedge_k	98578.462971691944
final_refreshed_n_wedges	213726
final_mean_rho_train_bpair	1
final_min_rho_train_bpair	1
final_max_rho_train_bpair	1
final_contact_energy	15646.957
final_repulsion_energy	14282.2783
final_backbone_energy	73.0769043
final_sep_energy	0
final_sep_force_l1	0
posterior_refreshed_after_final_relax	1
posterior_refresh_temperature	1
posterior_refresh_prior_mode	uniform
posterior_refresh_mean_kl	2.5953263345390467e-05
posterior_refresh_top_state_switch_frac	0.00190172321
posterior_refresh_mean_pU_before	0.446409166
posterior_refresh_mean_pU_after	0.446337551
n_bad_iter	0
n_relax_nonfinite_iter	0
n_coord_nonfinite	0
